Classification,Year,Period,Period Desc.,Aggregate Level,Is Leaf Code,Trade Flow Code,Trade Flow,Reporter Code,Reporter,Reporter ISO,Partner Code,Partner,Partner ISO,2nd Partner Code,2nd Partner,2nd Partner ISO,Customs Proc. Code,Customs,Mode of Transport Code,Mode of Transport,Commodity Code,Commodity,Qty Unit Code,Qty Unit,Qty,Alt Qty Unit Code,Alt Qty Unit,Alt Qty,Netweight (kg),Gross weight (kg),Trade Value (US$),CIF Trade Value (US$),FOB Trade Value (US$),Flag
H4,2015,2015,2015,2,0,2,Export,384,Côte d'Ivoire,CIV,0,World,WLD,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,0,,,,0,,176419867,,,4
H4,2016,2016,2016,2,0,2,Export,384,Côte d'Ivoire,CIV,0,World,WLD,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,0,,,,,,141556244,,,4
H4,2017,2017,2017,2,0,2,Export,384,Côte d'Ivoire,CIV,0,World,WLD,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,0,,,,0,,144235392,,,4
H4,2015,2015,2015,2,0,2,Export,388,Jamaica,JAM,0,World,WLD,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,,,,,1104334,,,0
H4,2016,2016,2016,2,0,2,Export,388,Jamaica,JAM,0,World,WLD,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,,,,,2438709,,,0
H4,2017,2017,2017,2,0,2,Export,388,Jamaica,JAM,0,World,WLD,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,0,,,,0,,2583740,,,0
H5,2017,2017,2017,2,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,0,,,,0,,291110859,,,4
H4,2015,2015,2015,2,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,,,,,189443506,,,0
H4,2016,2016,2016,2,0,2,Export,392,Japan,JPN,0,World,WLD,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,,,,,219404951,,,0
H5,2017,2017,2017,2,0,2,Export,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,0,,,,0,,26546282,,,4
H4,2015,2015,2015,2,0,2,Export,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,,,,,1615482,,,0
H4,2016,2016,2016,2,0,2,Export,398,Kazakhstan,KAZ,0,World,WLD,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,,,,,8110048,,,0
H5,2017,2017,2017,2,0,2,Export,400,Jordan,JOR,0,World,WLD,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,0,,,,0,,7419914,,,0
H4,2015,2015,2015,2,0,2,Export,400,Jordan,JOR,0,World,WLD,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,,,,,13120151,,,0
H4,2016,2016,2016,2,0,2,Export,400,Jordan,JOR,0,World,WLD,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,,,,,,,9853877,,,0
H4,2015,2015,2015,2,0,2,Export,404,Kenya,KEN,0,World,WLD,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,0,,,,0,,7681212,,,0
H4,2016,2016,2016,2,0,2,Export,404,Kenya,KEN,0,World,WLD,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,0,,,,0,,5691205,,,4
H4,2017,2017,2017,2,0,2,Export,404,Kenya,KEN,0,World,WLD,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,0,,,,0,,4079091,,,0
H5,2017,2017,2017,2,0,2,Export,410,Rep. of Korea,KOR,0,World,WLD,,,,,,,,44,Wood and articles of wood; wood charcoal,1,No Quantity,0,,,,0,,87581749,,,4
